17:25:59,8.25, 17:26:04,8.5
17:26:08,8.5, 17:26:12,9
17:26:12,8.75, 17:26:13,8.75
17:26:15,9, 17:26:16,9
17:26:19,9.25, 17:26:22,9.25
17:26:24,9.5, 17:26:25,9.5
17:26:26,9.5, 17:26:28,9.75
17:26:28,9.75, 17:26:29,9.75
17:26:30,10, 17:26:32,9.75
17:26:35,10, 17:26:36,10
17:46:53,8.5, 17:46:54,8.75
17:47:06,8.75, 17:47:07,9
18:07:28,8, 18:07:29,8
18:17:53,9, 18:18:00,9.25
18:20:16,9.5, 18:20:18,9.5
18:41:03,8.25, 18:41:04,8.5
18:41:30,8.75, 18:41:31,8.75
19:02:11,8.75, 19:02:15,8.75
19:02:33,9, 19:02:47,9.5
19:48:41,8, 19:48:42,8.25
20:20:10,8.5, 20:20:11,8.5
20:22:51,8.75, 20:22:52,8.75
22:18:01,7.5, 22:18:11,7.75
22:19:13,8, 22:19:15,8.25
